id,video_id,text,label,label_prior,matched_keywords,matched_categories,annot_time_sec,annot_ts
UgyMXHQufFiYv39PyVV4AaABAg,MzmJyHQlS5Y,"Матраимовту алдап, депутаттар жумуштарын бутуруп журушконго я, азыр озлору сатып, байкуш Матраимовту депутат болуп олтурушат, мейли, кайтаар дунье",non_hate,potentially_hate,олтуру,profanity_ky,128.0,1779483725
UgwYucjAKpWJ1_SK_lh4AaABAg,iM4S3PDEGDg,Эшек садыр Нуркожун котогунан тарабынан аныкталат жана бекитилет келген экен эшек садыр 😂😂😂,hate,potentially_hate,эшек,profanity_ky,17.34,1779483743
Ugw5IrZrReo_svi526d4AaABAg,bXQ7pHLuXSc,Лондон котоктолгон дейви ??))) Башында эфир,offensive,potentially_hate,коток,profanity_ky,15.94,1779483758
UgxfYcanana6GEymbV54AaABAg,MzmJyHQlS5Y,Едил сен голубой окшойсун голубойлорду колдоп бердин еле,hate,potentially_hate,голубой,lgbt,6.99,1779483765
UgzbTAAvd5kp_Fe39L54AaABAg,8W94yWJHw6A,Эки миллион деген ал Бир машына,non_hate,likely_non_hate,,,13.52,1779483779
UgxxM7fyx5S0BlkwdIJ4AaABAg,8W94yWJHw6A,Бул окшошкон эшектерди автомат менен чайкап курмандык чалыш керек .,hate,potentially_hate,эшек,profanity_ky,7.15,1779483786
UgyqpDAWz_0fkYvs7XN4AaABAg,8W94yWJHw6A,Башка тема жокбу,non_hate,likely_non_hate,,,7.96,1779483794
UgzDgGMycVuJrZvJBH94AaABAg,bXQ7pHLuXSc,Эшектерге кыларга иш жок. Эми ушул Максимдин уйу калды тартпаган. Андай уйлор кыргызстандын экинин биринде барда азыркы кезде. Пайдалуу иш ойлоп тапсанар болмок.,offensive,potentially_hate,эшек,profanity_ky,28.2,1779483822
UgziSavN7EDLZSkSCDt4AaABAg,KSVY5SRkfn8,Биляаат былгып кеткен экенда,offensive,potentially_hate,биля,profanity_ru,6.66,1779483829
Uggc7Nw0vppST3gCoAEC,GE9a-UY4I7E,жанардын колунан эшектин амыда келбейт,hate,potentially_hate,эшек,profanity_ky,4.87,1779483834
UgwWzmN7ggNV8k-pOad4AaABAg,MzmJyHQlS5Y,КРАСОВЧИК МАТРАИМОВ эр азамат эркек экен эл учун да жасады жакшылык колунан кокко тикенек келбегендер,non_hate,likely_non_hate,,,14.16,1779483848
UgyUYW6srP5KmHAV5NR4AaABAg,MzmJyHQlS5Y,Кармап кайра койбергени чумоский болгонда кошомат кылгандарды кошо камагыла,non_hate,potentially_hate,чумо,profanity_ru,10.44,1779483858
UgwCita2NM3smhR8CO54AaABAg,8W94yWJHw6A,"бул элдин канын соргон акмактарды туп тамыры менен жоккылыш керек ,",hate,potentially_hate,акмак,profanity_ky,6.41,1779483865
UgyZOmkP2dxHnwHDmnB4AaABAg,rcF3WelvY18,Жабылсын мындай жаштарга керек эмес тундосу эмне бар клупта кыз балага айрыкча,non_hate,likely_non_hate,,,16.53,1779483881
UgwoZDYA-kz0VFVEvHJ4AaABAg,8W94yWJHw6A,Казино адалдар да жок болуш керек,non_hate,likely_non_hate,,,6.47,1779483888
UgxI5834vBaqs4EGZTp4AaABAg,HeGfRTka3TQ,Баарына кыздар озу кунолу.,offensive,likely_non_hate,,,7.83,1779483896
Ugy8726gfGYpKmdHFkV4AaABAg,KSVY5SRkfn8,Кааап не деген акмакчылык.,offensive,potentially_hate,акмак,profanity_ky,11.26,1779483907
UgzVP3-lKtO1ZI9k7DR4AaABAg,9SK6boOSZX0,"Искандаров шохтун котуно биздин байрактын таягын матырып салабыз,дагы бир жолу шакалский движение кылып мирный адамдарыбызга кол салса! рахмон сука наркотигин откоро албай коту ачышып Кыргызстанга кол салып чоо итерин жиберип кайра оздору котуно кирип жатышат. Кыргыз деген айкол кечиримдуу ошол характерин пайдаланып жаткан шакалдарды Кудай озу жазаласын,биз Таджикистанга кирип барганда кырылып калышат бизде эржурок,баатырлар биринен бири калышпайт,озунорго келгиле,ажыдаардын куйругун тепселеп алып кырылып каласынар!",hate,potentially_hate,сука,profanity_ru,7.26,1779483914
Ugw2XUMqjTaaEB868K94AaABAg,rcF3WelvY18,"Ушулардын азабынан элибизге АЛЛАХымдын азаюы менен тозогу келип калбасын Туп тамыры меген жок кылып, ээлерине ото чон штрафтарды салыш керек",hate,likely_non_hate,,,13.81,1779483928
UgzUbYDKsFQmhuv5VLd4AaABAg,9SK6boOSZX0,"Ушул тажиктер, акмактар, мыкаачылар, манкурттар",hate,potentially_hate,акмак|манкурт,ethnic|profanity_ky,4.37,1779483932
UgyT3gNiObOFpiB2_C14AaABAg,HeGfRTka3TQ,"Милиция кайрылбаш керек кыздар, мен тел жоготуп алып кайрылгам, милиция номерим алган, адрес баарын жазып алып, 35 жашта милиция тунку 12 де чалып, чоон кыз эшике чыкпайсынбы суйлошуп отуралы дейт, мен урушуп кандай бетинер жок деп урушсам, ал кайра мени коркуткан. Воот кимге ишениш керек",non_hate,likely_non_hate,,,25.89,1779483958
UgzMe2jYe_gic1XgcD94AaABAg,8W94yWJHw6A,"КОТОК БАШ КОРУПЦИОНЕР ,САУНА, КАЗИНО ИШТЕТИП БАЙЫГАН ДЕПУТАТ БОЛУП ОЛТУРГАНДАР БАР. КЫРГЫЗСТАН ОНУКПОЙТ. БААРДЫГЫ ПОЧТИ КОРУПЦИОНЕР",hate,potentially_hate,коток,profanity_ky,7.51,1779483966
UgwskEIs9GAFUeSojm94AaABAg,HeGfRTka3TQ,"Биз алсызбыз деп эле жатып алышыптыр кудай берди деп эле.кыз кыздай болуп жабык кийинип коздон далдоо журсо эч Ким деле конул бурбайт, озунор ачык-чачык,жарым-жыланач журосунор коз-коз болуп делебе козгоп, анан зордоду-кордоду дейсинер уялбай, силер кыздарды эмес батыштын уяты жок саясатын коргоп жатасынар.",hate,likely_non_hate,,,17.37,1779483983
UgwPx9lHYmu8s6duWNd4AaABAg,HeGfRTka3TQ,Кыскасы ана мына деп отуруп каршы пикирлер менен калабердинер карочи бир созду айткым келди кураандагы хадистердин биринде жазылган аял заты ауратын горсотуп ачык чачык жургон коомдо еркектин пикири бузулуп знаа кобоёт деген азыр кыздар боёнуп жамбашын томпойтуп емчегин да самапал томпойтуп проститутка болуп калды анан кайдагы ыдык корсотконду суйлойсунор даже чоон еле ежелер чачын сары кызыл кылып боёп чампайган готуно шым кийип журсо анан кыздарынар албетте без труса журотда биринчи озунорду ондогула анан кыздарынар онолот анан синдинер онолот егер онолбойсунарбы анда бул маселени маралдык намыстык укугунар жок,hate,potentially_hate,амбаш,profanity_ky,26.83,1779484010
UgwP0ONRLKuNOsi3g5x4AaABAg,KSVY5SRkfn8,Колбаев! Тируу болгондо Ташиевди баш кылып туруп баардыгын башын жулмак! Аны бекеринен олтурушкон жок да!!!,offensive,potentially_hate,олтуру,profanity_ky,20.75,1779484031
UgwB_2jG9SOmqKzLg0l4AaABAg,va4UkKaVJ8k,Эдил байсалов колдойт буларды,non_hate,likely_non_hate,,,4.22,1779484035
UgxT73jLFwvviOP7ujd4AaABAg,va4UkKaVJ8k,"Ебать пакеты ""мини"" 😂 Это уже постанова какая то Купите для след съемки зип пакеты поменьше",skip,potentially_hate,ебать,profanity_ru,9.13,1779484044
UgwIyGqg6mLeB8-ZeUt4AaABAg,va4UkKaVJ8k,Молодцы ЛГБТ коом деген нерсени туп тамыры менен жок кылгыла...,hate,likely_non_hate,,,5.48,1779484050
Ugy5ev5HoRDWf3m_vkF4AaABAg,MzmJyHQlS5Y,Бийликтегилердин баары Матрайлар менен байланышы бар бизди мамлекеттик уурулар башкарып жатышат бир соо адам жок,non_hate,likely_non_hate,,,15.9,1779484065
UgyJQGmRuvzkUk2iwxh4AaABAg,8W94yWJHw6A,"Бири бирне чабыштырып отуруп Кыргызстанды жеп жутасынар го акмактар,,батыштын акчасына тойбодунар го кээ бир журналисттер",hate,potentially_hate,акмак,profanity_ky,13.01,1779484078
Ugw_YwOqlgcHa1r_zhB4AaABAg,MzmJyHQlS5Y,"Соке президенттике келбей эле койсон болмок, эн томонку денгээлдеги президент болуп тарыхта калды",non_hate,likely_non_hate,,,9.96,1779484088
Ugwc0ATQbAHN8GhAYGV4AaABAg,8W94yWJHw6A,"Надира Нарматова акмак жеткен наадан экенсин, сенин созуно караганда Матраимов кредит алып зорго кутулду дейсин .Уят эмеспи ушул айткандарын , карапайым калк эч нерсени тушунбойт деп ойлойт окшойсун. Эл бапрын коруп билип олтурат.АКМАК.",hate,potentially_hate,акмак,profanity_ky,3.3,1779484092
UgzHwdFJv-4JxzoUnPl4AaABAg,MzmJyHQlS5Y,Матраимов Райым шешен сс Бут эле элдин акчасын уурдап алыптыр. Ал акчаны жем чачкандай кичинеден продажныйларга чачып коюп журдуда ушуга чейин.,hate,potentially_hate,продажн,political,2.77,1779484094
UgznCXNjDsKal_52Kad4AaABAg,va4UkKaVJ8k,Жабыш керек бул акмактар атайын шарт тузуп беришкен жетекчиси,hate,potentially_hate,акмак,profanity_ky,6.07,1779484101
UgzADiD_wgKiyCSqJ6h4AaABAg,9SK6boOSZX0,Ылайым Авгандар Бир жумада тажиктердин чумосун чыгарабыз дегени бар ошентсе анан коробуз бул жашо бумеранг бизге сасыган тажиктер.бутубузга жыгылат,hate,potentially_hate,чумо,profanity_ru,9.95,1779484111
UgwVzA0Tb8sasWjTH6F4AaABAg,HeGfRTka3TQ,Жаш Кыздар тушунугужетелек учурдан пайдаланат как башжаман Адам екенинбилбей тушунбойдуушар болотекен,skip,likely_non_hate,,,22.8,1779484133
UgwgYHFNmP2TJofNW2l4AaABAg,rcF3WelvY18,Молодец Мунарбек! Ошондой коомго терс корунушторду жоготкула!,skip,likely_non_hate,,,12.33,1779484146
Ugwqc89ZyJSHQGMxGjl4AaABAg,bXQ7pHLuXSc,Эй торт коз журналис жакшы жумуш кылдым деп ойлоп атасынбы бийликтегилерден мактоо алам деп ойлодунбу акмак торт коз,hate,potentially_hate,акмак,profanity_ky,6.22,1779484152
Ugx0a8orMOxza2Bl_ux4AaABAg,GE9a-UY4I7E,Абылгазиев неге алынбады иштен Окмот канча адамды олтуруп омурун алды,non_hate,potentially_hate,олтуру,profanity_ky,6.91,1779484159
UgzSNFj4TuehLpsUtr54AaABAg,8W94yWJHw6A,Кыргызстан мафия болуп кеткен экенда,non_hate,likely_non_hate,,,2.91,1779484162
UgyVy0IpdSeSYUTImUR4AaABAg,KSVY5SRkfn8,Бийликте жалан эле каракчылар топтолгон,skip,likely_non_hate,,,4.76,1779484166
UgzxFuGYJO4Yr0P2N0V4AaABAg,rcF3WelvY18,Бул корунуш отоо чон трагедя чоон проблема окунучтуу коомду бузат булар акмактарды чекелен атса сооп болот булардын ата энелери жокпу Кудай сактай кор😮,hate,potentially_hate,акмак,profanity_ky,8.58,1779484175
UgxAV5qAUVOj1rFQqjZ4AaABAg,9SK6boOSZX0,Молодец факт менен чыгып иштерине ийгилик. Кыргызстан онугуп тынчтыкта жашасын Алаахым жар болсун,non_hate,likely_non_hate,,,9.4,1779484184
UgznUPAhqwHglFdkmXp4AaABAg,9SK6boOSZX0,Шуерда қирғизстон кутлик қилган скори помошни уриб аёл киши ичида булгани учун яна қарсак чопканиучун,skip,likely_non_hate,,,4.27,1779484189
UgysM2iF2P0hBWpso_p4AaABAg,KSVY5SRkfn8,Камчы вор булардын тизгинин тартып турчу эледа бекеринен олтурушкон жок,non_hate,potentially_hate,олтуру,profanity_ky,11.14,1779484200
Ugz2WUkj4CW75ABrDYR4AaABAg,8W94yWJHw6A,"Чыныгы эле чон карупционерлерге тийишпейт , чон Кыргызстанды жеген карупционерлердин бири да отурган жок ,баары жургап журушот, элге калп айтып Элди алдап эле журушот",non_hate,likely_non_hate,,,11.18,1779484211
Ugx0Q6CIkbxBNibnmZ14AaABAg,rcF3WelvY18,"Коомчулукта бул нерсени кантип дарылоого болот? Жабасызбы баарын - ачылат, Штраф саласызбы толойт, Оорууканага жаткызасызбы булар оорулуу эмес, булар баардык жерде бар кантебиз аял кишилерге билим берууну кучойтуп укугун коргоп тандоо бериш керек запрет салып кийимине эле маани бербей ошондо уул баланы эркек кыз баланы аял кылып тарбиялайтго . Буларга уже поздно",non_hate,likely_non_hate,,,29.63,1779484241
Ugxa7OcfAXGt8RVf2yN4AaABAg,9SK6boOSZX0,Жоопко ким тартат буларды?Же жоопсуз азатыкта жүрө беришеби?,non_hate,likely_non_hate,,,3.54,1779484244
UgxJNIVZvVJBbwtSjdp4AaABAg,MzmJyHQlS5Y,"Раим менен чогуу суротко тушкор ырчы блогер , спортсмендер сатквндар акчага сатылган кулдар ,",hate,potentially_hate,сатылган,political,12.59,1779484257
UgwueuY7kyVs64OClzN4AaABAg,9SK6boOSZX0,Шох ОЗУ террорист болгон экенго убагында,offensive,likely_non_hate,,,11.42,1779484268
Ugxx1pYC8S5zykl3Fyd4AaABAg,va4UkKaVJ8k,Акыретте өтө жаман ахвалда лгбт ларга каршы түшүндүрүү иштерин жүргүзүү керек Кудай алар менен сүйлөшпөйт түз тозокко кетирет дуал кылалы коомду таза сактап урпактарга өткөрүп берели,hate,likely_non_hate,,,11.34,1779484280
UgxxdiusJXtHx2FBJ2l4AaABAg,rcF3WelvY18,Ар бир адам өз каалоосу боюнча жашаганга укугу бар. Голубойбу солубойбу өздөрү билет. Главный башкаларга зыяны тийбесе.,hate,potentially_hate,голубой,lgbt,8.39,1779484288
Ugy0gL9EFGLO5E1tec14AaABAg,KSVY5SRkfn8,Не болуп атат озу,non_hate,likely_non_hate,,,5.75,1779484294
UgwDbi9_3Sw_cKYoj1p4AaABAg,GE9a-UY4I7E,Алдабагыла олтурушкерек баткайты,hate,potentially_hate,олтуру,profanity_ky,6.96,1779484301
UgwNivb3rfExapFzuMF4AaABAg,bXQ7pHLuXSc,Максим бакиев озу иштеп таап анан олтурган жок ар кимди олтуруп уй куруп алган демек бул ак эмес ак жашаган жакшы биронун уй булосун кууратып аталарын олтуруп балдарын сыздаткан да ошол бева калган ыйлар тынч уктатпасын Кудай Кудай,non_hate,potentially_hate,олтуру,profanity_ky,23.59,1779536344
Ugyw351mn5x0Reh8ydd4AaABAg,9SK6boOSZX0,Врешь нагла вы начали после прикошение огня утром был договор а вы начили сного сколько раз мы брали и отдали все что бля взяти так что не ври много.,skip,potentially_hate,бля,profanity_ru,5.61,1779536350
UgxVLg6Wh35cRsmGwbx4AaABAg,8W94yWJHw6A,Нарматова сен билбей журосунбу олконун мулкторун вврдап жвруп ьайыган да бизнесмен ьолбосо мейкинбек сен доолур экенсинер,skip,likely_non_hate,,,14.38,1779536364
Ugwb899HXq7rj2anTKd4AaABAg,9SK6boOSZX0,Генерал Шохту олтуруу планын тузуш керек,hate,potentially_hate,олтуру,profanity_ky,6.38,1779536370
UgyRKmMlpdhGstt9-L94AaABAg,8W94yWJHw6A,Акмак жеп жутарлар,hate,potentially_hate,акмак,profanity_ky,2.69,1779536373
UgwmrnlkkQqNheZ70SF4AaABAg,KSVY5SRkfn8,Көрөсүң кресло бийлик талаш явный эле болгон экен .аны Садырдын стукачтары билип калган дагы Ташиев Германиядан келип эле президенттике бир болсо отурмак Садырдын Ташиев жемкор деп алтындар кайда качкан катып жатасың деп аны переворот м-н түрмөгө тыкмак бул жер структура Садыр президент ошону приказы м-н күч структуралары м-н колго алып баарын кишендеп түрмөгө тыкты бирок эмнегедир репортаж теле сынакка чыгып бербей кетип калды себеби уялып калды окшойт УКМК бандасы бийликти алмак болгондугун 75чалдары менен бийликке алып күчтөрү жетпей калды ошого комментарий же сөзү жок кетип калды.,non_hate,likely_non_hate,,,38.88,1779536412
Ugx8cR19Zmjaqrl23B14AaABAg,rcF3WelvY18,Штарав Салгыла Айовсуз Булжерде Бары Ахретини Ойлобогондор Окшойт Буларды Энелер Торогонбу Же Эшектен Пайда Болгонбу Тоба Тоба,offensive,potentially_hate,эшек,profanity_ky,18.4,1779536430
