id,video_id,text,likes,date,n_words,has_kyrgyz_letters,cyrillic_ratio,label,matched_keywords,matched_categories,label_prior
UgyKehIrR5a3FCIx2uF4AaABAg,8W94yWJHw6A,"Менда ойлочумун Бул миллионду Элдин уулу деп, көрсө Элдин душманы турбайбы, чет жактан келген зыяндуу товарларды акча берсе киргизе берген экенда, азыр да жолун таап киргизип жатышат акмактар",1,1755820800,28,1,1.0,,акмак,profanity_ky,potentially_hate
Ugy1y5ZgkHDZm3a9njh4AaABAg,8W94yWJHw6A,РАИМ. ДЕП. ЭЛЕ. УКМУШ. ЭРКЕЛЕТЕСИНЕР. АЗЕРБАЙЖАН. РЕКЕТЕРИ. МЕНЕН. ИШТЕСЕ. САТКЫН. БУЛ. КЫРГЫЗ. ЭЛИНЕ. ЖАКШЫЛЫК. АЛЫП. КЕЛБЕЙТ. АКМАК. ЭЛГЕ. АКЧА. ЖАРДАМ. БЕРДИ. НАДИРА. КАОКАЛАЙТ. МИЛЛИОН. ЖЭП. ТУРУП. ЖУЗ. МИНДИ. ЧАЧЫЛА. ЧАЧЫП. КОЙОТ. ДА. ОШОНУ. ИУШУНСОНОП. КАНА. АЗЫР. БЕЧЕРА. ЭЛГЕ. БЕРСИНЧИ. КОРОЛУ. ..,0,1755820800,41,0,1.0,,акмак,profanity_ky,potentially_hate
UgysmrFYXCHlQZPizPd4AaABAg,8W94yWJHw6A,Кыргызстанды артка тартты акмак.,0,1755820800,4,0,1.0,,акмак,profanity_ky,potentially_hate
Ugxc8yptdIycER3ZSFl4AaABAg,8W94yWJHw6A,"Жоксунарго арамдар сукалар силердин оордунар арамдар, ит аткандай атса жарашат сукалар Алла Таалам бар чындык бар",0,1755820800,16,0,1.0,,сука,profanity_ru,potentially_hate
Ugwix_jg9TbpQeqtb_94AaABAg,8W94yWJHw6A,24саат тынбай иштеген аял баспай калбайбы!?Дооругон акмак акча Раимдин турткону учун депутат болгон да....,0,1747872000,14,0,1.0,,акмак,profanity_ky,potentially_hate
UgwakWPbPwCiYIvWkg54AaABAg,8W94yWJHw6A,Матраимов оздору жакшы болчу элге кызмат кылгандар бирок аркасын жалап жургондор ото опасный болушкан эми кимдикин жалашаткен кандидат пока жок,0,1747872000,20,0,1.0,,жалап,profanity_ky,potentially_hate
Ugxl1qNSiWifm8ex8uB4AaABAg,8W94yWJHw6A,Акмактар туура кылат силерди ташиев настоящий генерал,0,1747872000,7,0,1.0,,акмак,profanity_ky,potentially_hate
UgxJIgMmJgWAXoZGjuN4AaABAg,8W94yWJHw6A,Эки жузду эшектер,0,1747872000,3,0,1.0,,эшек,profanity_ky,potentially_hate
UgxwrMMJSLXglxjjTeF4AaABAg,8W94yWJHw6A,Ээ Жылгыла акмактар жаштар келсин иштей турган.Силердин балдарыңар Европада жүрөт акмактар,0,1747872000,11,1,1.0,,акмак,profanity_ky,potentially_hate
UgxWn8JbGTbRNpq7ejN4AaABAg,8W94yWJHw6A,ушул акмак эшекттердин айынан кыргызтан онукподу эшек арамдар,0,1716336000,8,0,1.0,,акмак|эшек,profanity_ky,potentially_hate
Ugx7AtVzrCNgCXZYSk14AaABAg,8W94yWJHw6A,Кыргыз кажан онолот ушиндиб бирин бирин котун чукулап коток башдар,0,1716336000,10,0,1.0,,коток,profanity_ky,potentially_hate
UgzMe2jYe_gic1XgcD94AaABAg,8W94yWJHw6A,"КОТОК БАШ КОРУПЦИОНЕР ,САУНА, КАЗИНО ИШТЕТИП БАЙЫГАН ДЕПУТАТ БОЛУП ОЛТУРГАНДАР БАР. КЫРГЫЗСТАН ОНУКПОЙТ. БААРДЫГЫ ПОЧТИ КОРУПЦИОНЕР",0,1716336000,16,0,1.0,,коток,profanity_ky,potentially_hate
Ugy6EBLsi8ezTw7X3Dl4AaABAg,8W94yWJHw6A,МАТРАИМОВДУ карапайым эл колдойт элге коп жардам берген чыккыла элге эшектин тезегин тердитип тентиткендер ким эле эмне кылып алды 2 мил ким кусту кетпеди элди атпады жэрди сатпады,0,1716336000,28,0,1.0,,эшек,profanity_ky,potentially_hate
UgwAME50eYHjYe4VW4x4AaABAg,8W94yWJHw6A,Атазовтын бети жок нарматовада ичкен жегени бир уяты жок акмактар жон жеринен жеринен коргогон жоксунда.барынын ооздору таза эмес арбир суйлогон созундо,0,1716336000,21,0,1.0,,акмак,profanity_ky,potentially_hate
UgytQUnnqWDmmAT-qJ94AaABAg,8W94yWJHw6A,АКМАКТЫН БААРЫ ДЕПУТАТ,0,1716336000,3,0,1.0,,акмак,profanity_ky,potentially_hate
UgzUpMptL2F5QYfDyph4AaABAg,8W94yWJHw6A,таши пидор 200 ду сука,0,1716336000,5,0,1.0,,пидор|сука,lgbt|profanity_ru,potentially_hate
UgwguftVgK53CVuVNZF4AaABAg,8W94yWJHw6A,Тантыраган Акмактар Раимдан сура кантип уурдаш к к деп эле айтсан болмок Бир жолу жаштарга БУМАГА 🧻 айткандай вообще невозможно экенда ОКМОТТО иштеш колунарда келбесе жаштарга бошотсонор боло оорун,0,1716336000,29,0,1.0,,акмак,profanity_ky,potentially_hate
Ugzm-3id1cPVG9logh14AaABAg,8W94yWJHw6A,Буларга милярт бир милондой.жоккылгыла акмак ашкорлорду.,0,1716336000,6,0,1.0,,акмак,profanity_ky,potentially_hate
UgzndzCs90SxTp1erHd4AaABAg,8W94yWJHw6A,"Балык башынан сасыйт дейт, биринчи Чонунан Садыйдан баштап камаш кереккодейм. Садый озу Бензин ташып Бизнес кылып журуп Элдин арты м/н кызматка келдилего. Раимдын Хабибулла Сартка окшогон Мафияларын аралаштырып алганына караганда Садый озу тазаместа.",0,1716336000,33,0,1.0,,сарт,ethnic,potentially_hate
Ugwh4M7vkmu1AT5Ouyl4AaABAg,8W94yWJHw6A,Камчы менен Садыр кече эле Райымдын котчугун жалап журушкон.Эми колдоруна бийлик тийип кутуруп атышат.,0,1716336000,14,0,1.0,,жалап,profanity_ky,potentially_hate
UgwrcamXmBcM43RgFwZ4AaABAg,8W94yWJHw6A,Райым тажинин оозун толтуруп Куспай койду окшойт! Эмесе ташинер Райымдын бир жерин жалап уктап эле журбодубу!,0,1716336000,16,0,1.0,,жалап,profanity_ky,potentially_hate
UgynkXZ7aZ4emtdTKuJ4AaABAg,8W94yWJHw6A,АКТАНГАН АКМАКТАРГА ОЛЛУМ АРРАМДАН ТОЮП БУТКООН ЭШЕКТЕР АТАЗОВ САЙРАП ЭМИ МАНТАДАРЫНАН АЖЫРАП КАЛАБЫЗ ДЕП АКЫЛДАРЫ ДУХТАРЫ ЖЭТПЕЕЙ ОТУРУГАТ ОЛЛУМ АКТАНБАГЫЛАА САТКЫНДАРГАА ОЛЛУУМ ДАРЫЛАНБААЙ ЭЛЕЕ БАШКА ЖАКТА ДА АРРАМ КУЧУКТООР АРРАМ ИШТЕРИН ЖУРГУЗУП ЖУРУШПОССУУН НАРМАТОВА БЕТИ ЖОК АЯЛ ЭКЕН МАНДАТАРЫН ТАШТАП БААЙЛЫКТАРЫН ОТКОРУП БЕРИП КЕТИШССИИН,1,1716336000,44,0,1.0,,акмак|эшек,profanity_ky,potentially_hate
UgwM2nNeqXF9MrSB3ph4AaABAg,8W94yWJHw6A,Камаш герек бул эшектин колунда иштегендерда байып кеткен чекеден текшерип камаш герек,0,1716336000,12,0,1.0,,эшек,profanity_ky,potentially_hate
UgymUPoVr4bD9xIL7A14AaABAg,8W94yWJHw6A,Таза иштебесе чекеден аткыла бир 80.90 акмак менен кыргыстан тыркырапта кетпейт онуголу,0,1716336000,12,0,1.0,,акмак,profanity_ky,potentially_hate
UgwID_peqcDGL_nylw14AaABAg,8W94yWJHw6A,Блят Элди алаксытып эле аллап Матраимовторду эрмек кылып алдынарго . Ушуну чыгарган автор азыркы жашоондо озунон башка Садыр и Камчына ишенбе турмушунан ажырап калба. Бунун баары постановка жоон котуну кысып Атат энендин балачакан менен тынч эле жашасан . Бляя качан онолосунар,0,1716336000,41,0,1.0,,бля,profanity_ru,potentially_hate
UgyQLkGv6AFyu-yMeC94AaABAg,8W94yWJHw6A,Бля уят позор Матраимов калган ишти эч бир Президент или Депутаты кыла Элге. Садыр менен Камчынын акчасы тугогондо эле ушинтип жалган нерселерди или акча топтомой болуп калышты.,0,1716336000,27,0,1.0,,бля,profanity_ru,potentially_hate
